input,given,family,orcid,other-names,employment,education,works,peer-reviews,funding,emails,other_names,Total,journal
Lisa M. Angeloni,Lisa,Angeloni,0000-0002-2385-0599,0,0,0,0,0,0,,,0,
Larry Bernstone,Larry,Bernstone,Not Found,,,,,,,,,0,
Kathryn Bickel,Kathryn,Bickel,Not Found,,,,,,,,,0,
Katherine Colburn,Katherine,Colburn,0000-0002-8263-7376,0,0,0,0,0,0,,,0,
Katherine Colburn,Katherine,Colburn,0009-0004-0441-6000,0,1,1,1,0,0,,,2,Remote Sensing
James Michael Daniels,James,Daniels,0000-0001-8600-5715,0,0,0,0,0,0,,,0,
James Michael Daniels,James,Daniels,0000-0002-1160-7073,0,0,0,0,0,0,,,0,
James Michael Daniels,James,Daniels,0000-0002-6737-6622,0,0,0,0,0,0,,,0,
James Michael Daniels,James,Daniels,0000-0002-0771-4730,0,0,0,0,0,0,,,0,
James Michael Daniels,James,Daniels,0000-0002-9066-8631,0,0,0,0,0,0,,,0,
James Michael Daniels,James,Daniels,0009-0000-6025-6751,0,0,0,0,0,0,,,0,
James Michael Daniels,James,Daniels,0000-0002-5933-8423,0,1,2,2,0,0,,,3,BMJ (Clinical research ed.)
James Michael Daniels,James,Daniels,0009-0006-5760-0471,0,0,0,1,0,0,,,1,South African Journal of Education
James Michael Daniels,James,Daniels,0009-0007-8473-4413,0,0,0,0,0,0,,,0,
James Michael Daniels,James,Daniels,0009-0000-6648-0754,0,1,0,0,0,0,,,1,
James Michael Daniels,James,Daniels,0000-0003-3360-6175,0,0,0,3,0,0,,,3,Journal of Medical Economics
James Michael Daniels,James Percy,Daniels,0000-0002-2401-2474,1,2,2,7,0,0,,,9,Prostate Cancer and Prostatic Diseases
James Michael Daniels,"John Daniels, John J. Daniels, John James Daniels",Daniels,0009-0007-0380-2366,0,0,0,0,0,0,,,0,
Kristin Gade,Kristin,Gade,0000-0003-3564-9494,0,0,0,0,0,0,,,0,
Ute Gigler,Ute,Gigler,Not Found,,,,,,,,,0,
Jeffrey Goldman,Jeffrey,Goldman,0009-0004-7094-9964,0,1,0,0,2,0,,,3,
Russell Iwanchuck,Russell,Iwanchuck,Not Found,,,,,,,,,0,
Jason Rice,Jason,Rice,0000-0003-2686-2445,0,0,0,0,0,0,,,0,
Jason Rice,Jason,Rice,0000-0002-1903-5997,0,1,2,0,5,0,,,6,
Bryn Sakagawa,Bryn,Sakagawa,Not Found,,,,,,,,,0,
J. Erik Sandstedt,J. Erik,Sandstedt,Not Found,,,,,,,,,0,
Jeremy Schwartz,Jeremy,Schwartz,0000-0002-5253-4608,0,0,0,0,0,0,,,0,
Jeremy Schwartz,Jeremy,Schwartz,0000-0002-3653-2557,0,1,1,0,0,0,,,1,
Jeremy Schwartz,Jeremy,Schwartz,0000-0003-4806-193X,0,1,0,1,2,0,,,4,The American Economist
Jeremy Schwartz,Jeremy,Schwartz,0000-0003-0139-2600,0,1,2,36,6,0,,,43,PLOS ONE
Jeremy Schwartz,Jeremy,Speed-Schwartz,0009-0004-3839-2860,0,1,0,0,0,0,,,1,
Stacey L. Smith,Stacey,Smith,0000-0001-7013-8679,1,0,1,0,0,0,,,0,
Stacey L. Smith,STACEY,SMITH,0000-0003-2010-4459,0,1,0,24,0,0,,,25,American Journal of Botany
Stacey L. Smith,Stacey,Smith,0000-0002-0147-6444,0,1,1,1,0,0,,,2,
Stacey L. Smith,Stacey,Smith,0000-0003-0139-338X,0,0,0,0,0,0,,,0,
Stacey L. Smith,Stacey,Smith,0000-0002-2425-1950,0,0,0,0,0,0,,,0,
Stacey L. Smith,Stacey,Smith,0000-0002-7438-9827,0,0,0,0,0,0,,,0,
Stacey L. Smith,Stacey,Smith,0000-0001-9224-7219,0,0,0,0,0,0,,,0,
Stacey L. Smith,Stacey,Smith,0000-0001-5588-2328,0,0,0,0,0,0,,,0,
Stacey L. Smith,Stacey,Smith,0009-0002-0069-3831,0,0,0,0,0,0,,,0,
Stacey L. Smith,Stacey,Smith,0000-0001-5837-0539,0,2,0,29,4,0,,,35,ACS Catalysis
Stacey L. Smith,Stacey,Smith,0009-0001-4248-3958,0,1,0,0,0,0,,,1,
Stacey L. Smith,Stacey,Smith?,0000-0002-6529-3321,1,4,2,98,1,0,,,103,Bulletin of Mathematical Biology
Stacey L. Smith,Stacey,Glass-Smith,0000-0002-8813-4120,0,0,0,1,0,0,,,1,Journal of Leadership Studies
Stacey L. Smith,Stacey,Kimmel-Smith,0000-0002-4520-5873,0,3,3,11,0,0,,,14,Internet Reference Services Quarterly
Stacey L. Smith,Stacey,Mills-Smith,0009-0009-3941-4036,0,0,0,0,0,0,,,0,
Stacey L. Smith,Stacey Burkhalter,Smith,0009-0003-8318-0114,0,0,0,1,0,0,,,1,
Christina Underwood,Christina Rye,Underwood,0000-0002-2333-2177,0,2,2,15,0,1,,,18,Journal of Biological Chemistry
Erin Boyd,Erin,Boyd,0000-0002-2230-2419,0,0,0,0,0,0,,,0,
Erin Boyd,Erin,Boyd,0000-0002-3611-7505,0,1,0,0,0,0,,,1,
Martha O. Burford,Martha ,Burford,0009-0002-1731-7226,0,1,0,0,0,0,,,1,
Martha O. Burford,Martha,Burford Reiskind,0000-0001-6826-9215,3,3,3,34,2,2,1,,42,Dryad
Tosha Comendant,Tosha,Comendant,Not Found,,,,,,,,,0,
Carolyn Cruz,carolyn,de la cruz,0000-0003-3424-9747,0,0,0,3,3,0,,,6,"Journal of Plastic, Reconstructive & Aesthetic Surgery"
Carolyn Cruz,jossely carolyn,colombino de la cruz,0000-0001-9103-2558,0,0,0,0,0,0,,,0,
Lia M. Gaertner,Lia,Gaertner,0009-0002-6512-017X,0,0,0,0,0,0,,,0,
Stephen J. Gehlbach,Stephen J.,Gehlbach,Not Found,,,,,,,,,0,
Elise M. Grenier,Elise M.,Grenier,Not Found,,,,,,,,,0,
Daniel R. Hahn,Daniel,Hahn,0000-0002-2286-6046,0,1,0,0,0,0,,,1,
Daniel R. Hahn,Daniel,Hahn,0000-0002-3026-562X,0,0,0,0,0,0,,,0,
Daniel R. Hahn,Daniel,Hahn,0000-0002-5433-6840,0,0,0,1,0,0,,,1,CEAS Aeronautical Journal
Daniel R. Hahn,Daniel ,Hahn,0000-0002-2783-6460,0,0,0,0,0,0,,,0,
Daniel R. Hahn,Daniel,Hahn,0000-0001-6356-3976,1,1,0,2,0,0,,,3,American Journal of Physiology-Endocrinology and Metabolism
Daniel R. Hahn,Daniel,Hahn,0009-0009-2844-5099,0,0,0,0,0,0,,,0,
Daniel R. Hahn,Daniel,Hahn,0009-0007-0115-6049,0,0,0,0,0,0,,,0,
Daniel R. Hahn,Daniel ,Hahn,0000-0003-0165-7488,0,1,0,107,0,0,,,108,Journal of Insect Physiology
Daniel R. Hahn,Daniel,Hahn,0000-0002-9401-5478,0,5,4,63,11,3,,,82,Journal of Biomechanics
Daniel R. Hahn,Daniel Luca,Hahn,0009-0002-4306-6942,0,1,1,0,0,0,,,1,
Rebecca Johnson,Rebecca,Johnson,0000-0002-3564-5189,0,0,0,0,0,0,,,0,
Rebecca Johnson,Rebecca,Johnson,0000-0002-3346-3402,0,0,0,0,0,0,,,0,
Rebecca Johnson,Rebecca,Johnson,0000-0003-1100-3066,0,0,0,0,0,0,,,0,
Rebecca Johnson,Rebecca,Johnson,0000-0001-7085-4405,0,0,0,0,0,0,,,0,
Rebecca Johnson,Rebecca,Johnson,0000-0003-0749-9652,0,0,0,0,0,0,,,0,
Rebecca Johnson,Rebecca,Johnson,0000-0003-1105-3565,0,0,0,0,0,0,,,0,
Rebecca Johnson,Rebecca,Johnson,0000-0001-8301-8342,0,0,0,0,0,0,,,0,
Rebecca Johnson,Rebecca,Johnson,0000-0003-3207-4402,0,0,0,0,0,0,,,0,
Rebecca Johnson,Rebecca,Johnson,0000-0002-6360-4499,0,0,0,0,0,0,,,0,
Rebecca Johnson,Rebecca,Johnson,0000-0001-6502-1660,0,0,0,0,0,0,,,0,
Rebecca Johnson,Rebecca,Johnson,0009-0000-0447-4965,0,1,0,0,0,0,,,1,
Rebecca Johnson,Rebecca,Johnson,0000-0002-2548-0755,0,0,0,0,0,0,,,0,
Rebecca Johnson,Rebecca ,Johnson,0000-0001-8079-7029,0,0,0,1,0,0,,,1,OJIN: The Online Journal of Issues in Nursing
Rebecca Johnson,Rebecca,Johnson,0000-0002-5114-4448,0,0,0,0,0,0,,,0,
Rebecca Johnson,Rebecca,Johnson,0000-0003-2896-9393,0,0,0,0,0,0,,,0,
Rebecca Johnson,Rebecca ,Johnson,0000-0002-9847-1286,1,0,2,1,0,0,1,,2,Ageing and Society
Rebecca Johnson,Rebecca,Johnson,0000-0001-8988-3089,0,0,0,0,0,0,,,0,
Rebecca Johnson,Rebecca,Johnson,0000-0002-8380-528X,0,0,0,0,0,0,,,0,
Rebecca Johnson,Rebecca,Johnson,0000-0002-1222-9019,0,0,0,5,0,0,,,5,JCO Oncology Practice
Rebecca Johnson,Rebecca,Johnson,0000-0002-0606-2929,0,0,0,0,0,0,,,0,
Rebecca Johnson,Rebecca,Johnson,0000-0002-5823-6011,0,0,0,0,0,0,,,0,
Rebecca Johnson,Rebecca,Johnson,0000-0001-7195-3851,0,0,0,0,0,0,,,0,
Rebecca Johnson,Rebecca,Johnson,0000-0002-0840-1541,0,1,0,2,0,0,,,3,Health Promotion Journal of Australia
Rebecca Johnson,Rebecca,Johnson,0000-0002-2510-9796,0,4,2,0,0,0,,,4,
Rebecca Johnson,Rebecca,Johnson,0000-0003-4031-1762,0,1,0,2,0,0,,,3,PLOS ONE
Rebecca Johnson,Rebecca,Johnson,0000-0002-4158-532X,0,0,0,0,0,0,,,0,
Rebecca Johnson,Rebecca,Johnson,0000-0002-6040-8302,0,2,3,4,4,0,,,10,Journal of Social and Personal Relationships
Rebecca Johnson,Rebecca ,Johnson ,0000-0001-7619-9659,0,0,0,0,0,0,,,0,
Rebecca Johnson,Rebecca,Johnson,0009-0006-2109-1150,0,0,0,0,0,0,,,0,
Rebecca Johnson,Rebecca,Johnson,0000-0002-4382-6828,0,1,2,1,0,0,,,2,SLAS Discovery
Rebecca Johnson,Rebecca,Johnson,0000-0001-6315-278X,0,0,0,2,0,0,,,2,Journal of Cancer Education
Rebecca Johnson,Rebecca,Johnson,0009-0004-3844-443X,0,0,0,0,0,0,,,0,
Rebecca Johnson,Rebecca,Johnson,0000-0002-5938-012X,0,1,0,0,0,0,,,1,
Rebecca Johnson,Rebecca,Johnson,0009-0000-7611-773X,0,0,0,0,0,0,,,0,
Rebecca Johnson,Rebecca,Johnson,0000-0002-5104-2919,0,0,0,2,0,0,,,2,Nature Communications
Rebecca Johnson,Rebecca,Johnson,0009-0009-9295-3100,0,0,0,0,0,0,,,0,
Rebecca Johnson,Rebecca,Johnson,0009-0002-8652-9003,0,1,0,0,0,0,,,1,
Rebecca Johnson,Rebecca,Johnson,0000-0003-2475-6622,0,1,0,21,4,0,,,26,Nature Human Behaviour
Rebecca Johnson,Rebecca ,Johnson,0009-0000-0060-1410,0,1,0,0,0,0,,,1,
Rebecca Johnson,Rebecca,Johnson,0000-0002-4839-6310,0,0,0,6,0,0,,,6,"Douglas, H. and Johnson, R. (2019). Community Practitioner, 9 (7), 45-47."
Rebecca Johnson,Rebecca,Johnson,0000-0003-1006-7586,1,0,3,4,0,0,,,4,Microbiology
Rebecca Johnson,Rebecca,Johnson,0009-0006-9225-5538,0,0,0,0,0,0,,,0,
Rebecca Johnson,Rebecca,Johnson,0000-0002-7560-4672,0,0,2,8,0,0,,,8,Polymer International
Rebecca Johnson,Rebecca,Johnson,0000-0002-8684-9202,0,0,0,0,0,0,,,0,
Rebecca Johnson,Rebecca,Johnson,0000-0003-2249-2643,1,1,0,17,0,0,,,18,PLOS ONE
Rebecca Johnson,Rebecca,Johnson,0009-0005-5127-3935,0,0,0,0,0,0,,,0,
Rebecca Johnson,Rebecca,Johnson,0009-0009-4107-5328,0,1,0,0,0,0,,,1,
Rebecca Johnson,Rebecca,Johnson,0000-0001-6592-9089,1,0,1,2,0,0,,,2,Langmuir
Rebecca Johnson,Rebecca,Johnson,0000-0002-4285-9177,1,3,2,13,1,0,,,17,bioRxiv
Rebecca Johnson,Rebecca,Johnson,0000-0001-7359-6595,0,4,2,4,0,0,,,8,International Journal of Bullying Prevention
Rebecca Johnson,Rebecca,Johnson,0000-0002-1920-9774,0,1,1,15,1,0,,,17,Regional Anesthesia & Pain Medicine
Rebecca Johnson,Rebecca,Johnson,0000-0002-0728-5374,0,1,5,32,0,3,,,36,Canadian Journal of Women and the Law
Rebecca Johnson,Rebecca,Johnson,0000-0002-2847-8298,0,9,3,38,0,3,,,50,Journal of Epidemiology and Community Health
Rebecca Johnson,Rebecca,Johnson,0000-0001-7253-7454,0,0,0,0,1,0,,,1,
Rebecca Johnson,Rebecca,Johnson,0000-0001-8254-9029,0,0,0,1,0,0,,,1,
Rebecca Johnson,Rebecca,Johnson,0000-0002-5281-0924,0,1,3,6,21,0,,,28,High Ability Studies
Rebecca Johnson,Rebecca,Johnson,0000-0003-3035-2827,0,3,2,76,2,0,,,81,Conservation Genetics Resources
Rebecca Johnson,Rebecca May,Johnson,0000-0001-5529-1261,0,1,3,4,0,1,,,6,Oxford German Studies
Rebecca Johnson,Rebecca McKay,Johnson,0000-0001-5697-4638,2,2,3,10,0,1,,,13,Medical Reference Services Quarterly
Rebecca Johnson,Rebecca Mary,Johnson,0009-0007-2170-2553,0,1,0,1,0,0,,,2,Practical Neurology
Rebecca Johnson,Rebecca L,Johnson,0000-0002-8771-6161,0,1,0,0,0,0,,,1,
Rebecca Johnson,Rebecca Kate,Johnson,0009-0006-2417-690X,0,0,0,0,0,0,,,0,
Rebecca Johnson,Rebecca L,Johnson,0009-0002-2247-5990,0,1,0,0,0,0,,,1,
Rebecca Johnson,Rebecca M,Johnson,0000-0003-0517-5769,0,1,3,27,0,0,,,28,Ultrasound in obstetrics & gynecology : the official journal of the International Society of Ultrasound in Obstetrics and Gynecology
Rebecca Johnson,Rebecca. H.,Johnson,0000-0001-9473-2621,0,6,3,9,0,0,,,15,Biosensors
Rebecca Johnson,Rebecca L.,Johnson,0000-0001-7321-0744,2,2,0,4,0,0,,,6,
Rebecca Johnson,Rebecca A,Johnson,0009-0001-2463-3510,0,1,0,0,0,0,,,1,
Rebecca Johnson,Rebecca Anna,Johnson,0009-0006-6411-9635,0,1,0,0,0,0,,,1,
Rebecca Johnson,Rebecca Jean,Johnson,0000-0002-0084-4727,0,2,2,4,6,0,,,12,Pediatric Neurology
Rebecca Johnson,Rebecca,Johnson Bista,0000-0003-3375-7053,0,0,0,0,0,0,,,0,
Rebecca Johnson,Rebecca,Harper-Johnson,0000-0003-3310-2364,0,0,0,0,0,0,,,0,
Rebecca Johnson,Rebecca,Johnson Beller,0000-0002-9742-7806,0,0,0,7,0,0,,,7,Workplace Health & Safety
Rebecca Johnson,Stephanie Rebecca Howerton,Johnson,0009-0008-4325-615X,0,0,0,0,0,0,,,0,
Sarah Kalish,Sarah,Kalish,0009-0001-1277-5124,0,0,0,0,0,0,,,0,
Cheyenne Laczek-Johnson,Cheyenne,Laczek-Johnson,Not Found,,,,,,,,,0,
Regina Linville,Regina,Linville,0000-0003-3732-5944,0,0,0,0,0,0,,,0,
Ina Park,InA,PARK,0000-0003-0266-5068,0,0,0,0,0,0,,,0,
Ina Park,Ina,PARK,0009-0008-3729-6091,0,0,0,0,0,0,,,0,
Ina Park,Ina,Park,0009-0008-7558-7092,0,1,0,0,2,0,,,3,
Ina Park,Ina,Park,0000-0003-0161-711X,0,1,1,13,2,0,1,,17,Nano Letters
J. A. Pearson,J. Stephen,Pearson,0000-0002-6252-2432,0,0,0,0,0,0,,,0,
J. A. Pearson,J Michael,Pearson,0000-0002-1000-4107,0,1,1,0,0,0,,,1,
J. A. Pearson,Scott J.,Pearson,0000-0003-3676-2050,0,1,0,0,0,0,,,1,
Sarah Jane Rollin,Sarah,GUILLAUD-ROLLIN,0009-0001-6283-7709,0,0,0,0,0,0,,,0,
Julie L. Smith,Julie,Smith,0000-0001-5588-3638,0,0,0,0,0,0,,,0,
Julie L. Smith,JULIE,SMITH,0000-0001-7163-6629,0,0,0,0,0,0,,,0,
Julie L. Smith,Julie,Smith,0000-0002-5059-9918,0,0,0,0,0,0,,,0,
Julie L. Smith,Julie,Smith,0000-0003-0065-5165,0,0,0,0,0,0,,,0,
Julie L. Smith,Julie,Smith,0000-0001-9933-3873,0,0,0,0,0,0,,,0,
Julie L. Smith,Julie,Smith,0000-0003-0392-1174,0,0,0,0,0,0,,,0,
Julie L. Smith,Julie,Smith,0000-0003-1412-7443,0,0,0,0,0,0,,,0,
Julie L. Smith,Julie,Smith,0000-0003-4497-4387,0,0,0,0,0,0,,,0,
Julie L. Smith,Julie,Smith,0000-0002-0874-1095,0,0,0,0,0,0,,,0,
Julie L. Smith,Julie,Smith,0000-0002-2556-9020,0,0,0,0,0,0,,,0,
Julie L. Smith,Julie,Smith,0000-0003-2804-0285,0,0,0,0,0,0,,,0,
Julie L. Smith,Julie,Smith,0000-0001-6037-9428,0,0,0,0,0,0,,,0,
Julie L. Smith,Julie,Smith,0000-0002-1196-7386,0,0,0,0,0,0,,,0,
Julie L. Smith,Julie,Smith,0000-0002-0429-7900,0,0,0,0,0,0,,,0,
Julie L. Smith,Julie,Smith,0000-0002-3622-5469,0,0,0,0,0,0,,,0,
Julie L. Smith,Julie,Smith,0000-0002-4716-9685,0,0,0,1,0,0,,,1,Estudos e Pesquisas em Psicologia
Julie L. Smith,Julie,Smith,0000-0002-3136-7118,0,0,0,0,0,0,,,0,
Julie L. Smith,Julie,smith,0000-0003-4471-7970,0,0,0,0,0,0,,,0,
Julie L. Smith,Julie,Smith,0009-0005-1725-6314,0,0,0,0,0,0,,,0,
Julie L. Smith,Julie,Smith,0000-0002-1725-5443,1,1,3,5,0,1,,,7,German Politics
Julie L. Smith,Julie,Smith,0000-0002-5549-0022,1,0,0,0,0,0,,,0,
Julie L. Smith,Julie,Smith,0009-0002-2001-4250,0,0,0,0,1,0,,,1,
Julie L. Smith,Julie,Smith,0000-0002-4870-968X,0,0,0,0,0,0,,,0,
Julie L. Smith,Julie,Smith,0000-0001-8569-1303,0,1,0,0,0,0,,,1,
Julie L. Smith,Julie,Smith,0009-0004-8654-8575,0,1,0,0,0,0,,,1,
Julie L. Smith,Julie,Smith,0009-0009-0441-3682,0,1,0,0,0,0,,,1,
Julie L. Smith,Julie,Smith,0000-0002-2927-9514,0,2,3,8,3,0,,,13,International Journal for Educational and Vocational Guidance
Julie L. Smith,Julie,Smith,0000-0003-1135-1191,0,2,2,42,0,0,,,44,International Journal of Laboratory Hematology
Julie L. Smith,Julie,Smith,0009-0005-9963-5456,0,1,2,0,2,0,,,3,
Julie L. Smith,Julie,Smith,0009-0005-9862-5627,0,0,0,0,0,0,,,0,
Julie L. Smith,Julie,Smith,0000-0003-2347-2070,0,0,0,38,0,0,,,38,ICERI Proceedings
Julie L. Smith,Julie,Smith,0009-0001-7392-2319,0,4,2,0,0,0,,,4,
Julie L. Smith,Julie,Winter-Smith,0000-0001-5782-9176,0,0,0,3,0,1,,,4,BMC Cardiovascular Disorders
Julie L. Smith,Julie,Bajic Smith,0009-0001-3989-5433,0,0,0,0,0,0,,,0,
Julie L. Smith,Julie,Cremeans-Smith,0000-0002-2123-4637,0,1,0,2,0,0,,,3,Journal of Traumatic Stress
Julie L. Smith,Julie,Smith-Yliniemi,0000-0001-7988-9751,0,4,0,1,0,0,,,5,The Professional Counselor
Julie L. Smith,Julie,Smith-Gagen,0000-0001-9796-3409,0,1,0,3,7,0,,,11,Clinical Journal of the American Society of Nephrology
Julie L. Smith,Julie Ann,Smith,0000-0002-4175-0823,0,0,0,0,0,0,,,0,
Julie L. Smith,Sanne Julie,Smith,0000-0002-3487-0528,0,2,2,12,9,0,,,23,"SETAC Europe 35th Annual Meeting, Vienna, Austria, 11/05/25"
Julie L. Smith,Julie Patricia,Smith,0000-0001-9796-7629,3,9,3,173,86,5,2,,275,Breastfeeding Review
Julie L. Smith,Julie Smith,Julie Smith,0009-0009-0349-2243,0,0,0,0,0,0,1,,1,
Julie L. Smith,Julie Sian,Smith-Lewis,0009-0005-0845-5100,0,1,1,2,1,0,,,4,Educational & Child Psychology
Julie L. Smith,Julie C.,"Fanburg-Smith, M.D.",0000-0002-1395-4730,0,1,0,0,8,0,,,9,
Julie L. Smith,Julie C.,"Fanburg-Smith, M.D.",0000-0002-5404-096X,0,0,0,0,8,0,,,8,
George R. Wettach,George R.,Wettach,Not Found,,,,,,,,,0,
Abinash P. Achrekar,Abinash P.,Achrekar,Not Found,,,,,,,,,0,
Nicola J. Acutt,Nicola J.,Acutt,Not Found,,,,,,,,,0,
Lena Brook,Lena,Brook,Not Found,,,,,,,,,0,
Eric A. Collisson,Eric,Collisson,0000-0002-2829-355X,0,0,0,0,0,0,,,0,
Eric A. Collisson,Eric,Collisson,0000-0001-8037-9388,0,0,0,0,0,0,,,0,
Lindsay Dinn,Lindsay,Dinn,Not Found,,,,,,,,,0,
Peter A. Elston,Peter A.,Elston,Not Found,,,,,,,,,0,
Ken Greenberg,Ken,Greenberg,Not Found,,,,,,,,,0,
Ryan M. Houston,Ryan,Houston,0000-0001-5695-0388,0,0,0,0,0,0,,,0,
Ryan M. Houston,Ryan,Houston,0000-0002-7656-4481,0,0,0,0,0,0,,,0,
Ryan M. Houston,Ryan,Houston,0000-0003-0943-3622,0,0,0,0,0,0,,,0,
Ryan M. Houston,Ryan,Houston,0000-0002-0278-0632,0,0,0,0,0,0,,,0,
Ryan M. Houston,Ryan,Houston,0000-0003-0508-4728,0,0,0,0,0,0,,,0,
Ryan M. Houston,Ryan,Houston,0000-0002-9503-5075,0,0,0,0,0,0,,,0,
Ryan M. Houston,Ryan,Houston,0000-0001-5769-7695,0,0,0,0,0,0,,,0,
Ryan M. Houston,Ryan,Houston,0000-0001-9494-2514,0,0,0,5,0,0,,,5,Molecular Biology of the Cell
Ryan M. Houston,Ryan,Houston,0009-0002-8049-9560,0,0,0,0,0,0,,,0,
Ryan M. Houston,Ryan,Houston-Dial,0009-0007-5106-3166,0,0,0,0,0,0,,,0,
Andy Johnson,Andy,Johnson,0000-0001-6780-1492,0,0,0,0,0,0,,,0,
Andy Johnson,Andy,Johnson,0009-0007-1187-0529,0,1,0,0,0,0,1,,2,
Andy Johnson,Andy,Johnson,0000-0003-0846-7396,0,0,2,6,0,0,,,6,"Religion, Disability, and Interpersonal Violence"
Andy Johnson,Andy Lain,Johnson,0009-0008-7022-847X,0,1,0,0,0,0,,,1,
Andy Johnson,"Andy, Andrew",Johnson,0009-0008-4805-6341,0,0,0,0,0,0,,,0,
Andy Johnson,Andrew (Andy),Johnson,0009-0007-5951-1293,0,1,0,1,0,0,,,2,Journal of Diabetes Science and Technology
Betty Y. Lin,Betty,Lin,0000-0001-7261-7796,0,1,0,23,9,0,,,33,Developmental Psychobiology
Betty Y. Lin,Betty Fwei-chien,Lin,0000-0002-9585-6842,0,1,0,0,0,0,,,1,
Tina Liu,Tina,liu,0000-0003-1976-9808,0,0,3,0,0,0,,,0,
Tina Liu,Tina,Liu,0000-0003-0755-3495,0,0,0,0,0,0,,,0,
Tina Liu,Tina,Liu,0009-0004-9449-1038,0,0,0,0,0,0,,,0,
Tina Liu,Tina,Liu,0000-0001-5795-353X,0,0,0,3,0,0,,,3,Social Science & Medicine
Tina Liu,Tina,Liu,0009-0009-8246-7715,0,1,0,6,0,2,,,9,"Information, Power, and Reproductive Health"
Tina Liu,Tina,Liu,0000-0003-1297-7102,0,4,2,20,2,2,,,28,Proceedings of the National Academy of Sciences
Tina Liu,Tina C.,Liu,0000-0002-9500-9096,0,0,0,0,0,0,,,0,
Tina Liu,Tina J.,Liu,0009-0004-8550-1628,0,1,1,2,0,0,,,3,Wellesley Institute
Camille Nowell,Camille,Nowell,Not Found,,,,,,,,,0,
Michael Schafler,Michael,Schafler,Not Found,,,,,,,,,0,
Maya Skubatch,Maya,Skubatch,Not Found,,,,,,,,,0,
Nathan Vaziri,Nathan,Vaziri,Not Found,,,,,,,,,0,
Kendra G. Bergstrom,Kendra,Bergstrom,0000-0003-4253-6551,0,0,0,0,0,0,,,0,
Joanna L. Canepa,Joanna L.,Canepa,Not Found,,,,,,,,,0,
Ylva Carosone,Ylva,Carosone,Not Found,,,,,,,,,0,
Jennifer Rose Conners,Jennifer Rose,Conners,Not Found,,,,,,,,,0,
Solomon Dobrowski,Solomon,Dobrowski,0000-0003-2561-3850,0,1,0,87,1,0,,,89,Ecosphere
Michael Alan Emmett,Michael,Emmett,0000-0002-3284-1117,0,1,4,0,6,0,,,7,
Chris Feldman,Chris,Feldman,0000-0003-2988-3145,0,1,0,19,1,0,1,,22,Proceedings of the National Academy of Sciences
Daniel D. Filiatrault,Daniel D.,Filiatrault,Not Found,,,,,,,,,0,
Sapna B. Khandwala,Sapna B.,Khandwala,Not Found,,,,,,,,,0,
Julianne Ludwig,Julianne,Ludwig,Not Found,,,,,,,,,0,
Xavier Mayali,Xavier,Mayali,0000-0002-2170-0773,0,1,0,64,15,0,,,80,Nature Communications
Larry Rabin,Larry,Rabin,Not Found,,,,,,,,,0,
